Date	Open	High	Low	Close*	Adj Close**	Volume
2023-07-05	4036.08	4061.57	4013.29	4060.43	4060.43	3809590000
2023-07-03	4053.72	4094.21	4048.70	4070.56	4070.56	3907760000
2023-06-30	4049.27	4063.85	4015.55	4017.77	4017.77	3802000000
2023-06-29	4020.85	4077.16	4020.44	4076.60	4076.60	4679320000
2023-06-28	4070.07	4148.95	4037.20	4119.21	4119.21	4856930000
2023-06-27	4158.68	4195.44	4141.88	4179.76	4179.76	5624360000
2023-06-26	4136.69	4182.36	4123.36	4136.48	4136.48	4694510000
2023-06-23	4119.57	4124.63	4093.38	4111.08	4111.08	4114240000
2023-06-22	4105.35	4176.54	4088.39	4164.00	4164.00	4355860000
2023-06-21	4153.47	4156.85	4111.67	4117.86	4117.86	4029820000
2023-06-20	4144.25	4156.23	4069.67	4081.50	4081.50	4270200000
2023-06-16	4068.92	4094.36	4060.79	4090.46	4090.46	3891520000
2023-06-15	4096.62	4138.90	4092.67	4137.29	4137.29	3448620000
2023-06-14	4126.70	4159.77	4095.01	4136.13	4136.13	3929200000
2023-06-13	4119.50	4148.11	4103.98	4147.60	4147.60	4075980000
2023-06-12	4114.75	4136.54	4089.49	4090.41	4090.41	4143660000
2023-06-09	4077.39	4081.51	4047.95	4079.09	4079.09	4045480000
2023-06-08	4052.35	4052.35	3995.19	3997.34	3997.34	4121590000
2023-06-07	4001.83	4017.37	3976.90	3991.05	3991.05	4079320000
2023-06-06	4018.60	4028.30	3969.19	4012.32	4012.32	3952940000
2023-06-05	3973.24	3978.25	3943.08	3970.04	3970.04	3877700000
2023-06-02	3992.36	4018.05	3973.55	3982.24	3982.24	3836950000
2023-06-01	3977.19	3997.50	3968.98	3970.15	3970.15	5043400000
2023-05-31	3963.34	3971.73	3939.05	3951.39	3951.39	4249480000
2023-05-30	3938.68	3990.84	3928.16	3981.35	3981.35	4244900000
2023-05-26	3998.02	4048.29	3995.17	4045.64	4045.64	4084730000
2023-05-25	4055.15	4078.49	4044.61	4048.42	4048.42	4000870000
2023-05-24	4048.26	4050.00	3980.31	3986.37	3986.37	3922500000
2023-05-23	3987.55	4000.41	3969.76	3992.01	3992.01	3535570000
2023-05-22	3998.66	4017.81	3908.70	3918.32	3918.32	4445260000
2023-05-19	3912.77	3934.05	3846.32	3861.59	3861.59	5518190000
2023-05-18	3835.12	3905.05	3808.86	3855.76	3855.76	6558020000
2023-05-17	3894.01	3937.29	3873.63	3919.29	3919.29	5665870000
2023-05-16	3876.74	3894.26	3838.24	3891.93	3891.93	6594010000
2023-05-15	3878.93	3964.46	3864.11	3960.28	3960.28	5695790000
2023-05-12	3958.69	3958.91	3901.27	3916.64	3916.64	9354280000
2023-05-11	3917.47	3956.62	3916.89	3951.57	3951.57	5347140000
2023-05-10	3975.89	4009.08	3971.19	4002.87	4002.87	4920240000
2023-05-09	4002.04	4039.49	3936.17	3936.97	3936.97	4533010000
2023-05-08	3959.21	4007.66	3919.05	3948.72	3948.72	4991600000
2023-05-05	3939.21	3972.74	3909.16	3970.99	3970.99	4583970000
2023-05-04	3982.93	4003.83	3970.49	3977.53	3977.53	4233540000
2023-05-03	3974.13	3979.20	3951.53	3971.27	3971.27	4014600000
2023-05-02	3999.53	4030.59	3999.53	4027.81	4027.81	4145250000
2023-05-01	4046.74	4057.85	4032.10	4050.83	4050.83	3930860000
2023-04-28	4056.18	4110.75	4056.18	4109.31	4109.31	4525120000
2023-04-27	4102.20	4127.66	4098.79	4124.51	4124.51	4234700000
2023-04-26	4128.03	4133.13	4086.87	4100.60	4100.60	4227800000
2023-04-25	4094.50	4099.69	4072.56	4090.38	4090.38	3968020000
2023-04-24	4081.15	4107.32	4069.84	4105.02	4105.02	3486690000
2023-04-21	4085.20	4109.50	4072.55	4109.11	4109.11	3423650000
2023-04-20	4110.29	4124.26	4102.61	4108.94	4108.94	3665830000
2023-04-19	4121.72	4134.37	4086.94	4091.95	4091.95	3633120000
2023-04-18	4100.04	4150.26	4099.40	4146.22	4146.22	3596590000
2023-04-17	4140.11	4163.19	4113.20	4137.64	4137.64	3575690000
2023-04-14	4137.17	4151.72	4123.18	4151.32	4151.32	3611180000
2023-04-13	4164.26	4169.48	4140.36	4154.87	4154.87	3536640000
2023-04-12	4139.33	4162.57	4134.49	4154.52	4154.52	3572560000
2023-04-11	4130.48	4148.57	4114.57	4129.79	4129.79	3772080000
2023-04-10	4132.14	4138.02	4113.86	4133.52	4133.52	3611750000
2023-04-06	4132.07	4142.41	4117.77	4137.04	4137.04	3290940000
2023-04-05	4126.43	4126.43	4071.38	4071.63	4071.63	3978640000
2023-04-04	4087.78	4089.67	4049.35	4055.99	4055.99	3837030000
2023-04-03	4075.29	4138.24	4075.29	4135.35	4135.35	3750550000
2023-03-31	4129.63	4170.06	4127.18	4169.48	4169.48	4087800000
2023-03-30	4166.79	4186.92	4164.12	4167.87	4167.87	3321370000
2023-03-29	4164.10	4164.10	4089.72	4119.58	4119.58	4486130000
2023-03-28	4122.25	4148.30	4088.86	4090.75	4090.75	4246510000
2023-03-27	4082.55	4082.61	4048.28	4061.22	4061.22	4920090000
2023-03-24	4084.73	4147.02	4084.73	4136.25	4136.25	4186270000
2023-03-23	4136.98	4142.30	4123.81	4138.12	4138.12	3641640000
2023-03-22	4124.25	4130.35	4116.65	4119.17	4119.17	3810140000
2023-03-21	4143.74	4154.28	4098.92	4137.64	4137.64	4057160000
2023-03-20	4132.24	4132.80	4109.29	4130.62	4130.62	3752900000
2023-03-17	4138.54	4143.74	4099.12	4124.08	4124.08	3533740000
2023-03-16	4126.65	4141.25	4110.27	4136.28	4136.28	3562170000
2023-03-15	4127.95	4135.54	4109.86	4109.90	4109.90	3654200000
2023-03-14	4122.85	4164.67	4113.62	4158.77	4158.77	4039080000
2023-03-13	4157.68	4202.20	4153.50	4198.05	4198.05	3980500000
2023-03-10	4204.15	4212.91	4180.20	4191.98	4191.98	4041900000
2023-03-09	4190.78	4209.22	4179.68	4192.63	4192.63	3728520000
2023-03-08	4176.80	4185.68	4142.54	4145.58	4145.58	4155320000
2023-03-07	4132.96	4132.96	4103.98	4115.24	4115.24	3739160000
2023-03-06	4155.71	4165.74	4129.73	4151.28	4151.28	4147760000
2023-03-03	4156.16	4212.87	4156.16	4205.45	4205.45	3715460000
2023-03-02	4226.71	4231.10	4192.18	4205.52	4205.52	4228510000
2023-03-01	4190.74	4195.44	4166.15	4179.83	4179.83	5980670000
2023-02-28	4183.03	4232.43	4171.64	4221.02	4221.02	4391860000
2023-02-27	4241.01	4290.67	4241.01	4282.37	4282.37	4454200000
2023-02-24	4282.99	4299.28	4266.82	4273.79	4273.79	3813290000
2023-02-23	4271.34	4288.33	4263.09	4283.85	4283.85	3996560000
2023-02-22	4285.47	4299.19	4263.96	4267.52	4267.52	4537800000
2023-02-21	4268.69	4298.01	4261.07	4293.93	4293.93	3826740000
2023-02-17	4304.88	4322.62	4291.70	4298.86	4298.86	3786510000
2023-02-16	4308.32	4340.13	4304.37	4338.93	4338.93	3945670000
2023-02-15	4352.61	4375.37	4349.31	4369.01	4369.01	4275400000
2023-02-14	4366.29	4391.82	4337.85	4372.59	4372.59	4252110000
2023-02-13	4365.33	4439.20	4362.60	4425.84	4425.84	4176690000
2023-02-10	4440.95	4448.47	4407.44	4409.59	4409.59	6848600000
2023-02-09	4396.11	4400.15	4367.19	4388.71	4388.71	4055790000
2023-02-08	4380.01	4386.22	4360.14	4365.69	4365.69	3709330000
2023-02-07	4355.40	4382.25	4351.82	4381.89	4381.89	3511000000
2023-02-06	4354.17	4366.55	4341.34	4348.33	4348.33	6053620000
2023-02-03	4344.84	4362.06	4328.08	4328.82	4328.82	3415030000
2023-02-02	4337.36	4384.42	4335.00	4378.41	4378.41	3573500000
2023-02-01	4367.48	4390.35	4360.22	4376.86	4376.86	3739330000
2023-01-31	4374.94	4398.39	4371.97	4396.44	4396.44	3696660000
2023-01-30	4422.44	4458.48	4422.44	4450.38	4450.38	3923450000
2023-01-27	4450.48	4456.46	4442.29	4455.59	4455.59	2034280000
2023-01-26	4442.04	4454.06	4436.61	4446.82	4446.82	3482620000
2023-01-25	4422.62	4422.62	4385.05	4411.59	4411.59	3682020000
2023-01-24	4404.54	4440.39	4397.40	4398.95	4398.95	3630480000
2023-01-23	4394.23	4412.60	4389.92	4409.53	4409.53	3429600000
2023-01-20	4415.55	4443.64	4408.46	4439.26	4439.26	3624220000
2023-01-19	4467.69	4488.34	4463.23	4472.16	4472.16	3920290000
2023-01-18	4491.50	4517.38	4489.36	4510.04	4510.04	3839530000
2023-01-17	4514.61	4527.76	4499.56	4505.42	4505.42	3647450000
2023-01-13	4508.86	4532.85	4504.90	4522.79	4522.79	3538240000
2023-01-12	4521.78	4562.30	4514.59	4554.98	4554.98	4090010000
2023-01-11	4563.87	4578.43	4557.48	4565.72	4565.72	4115670000
2023-01-10	4554.38	4564.74	4527.56	4534.87	4534.87	3761770000
2023-01-09	4550.16	4555.00	4535.79	4536.34	4536.34	3570190000
2023-01-06	4543.39	4563.41	4541.29	4554.64	4554.64	3856250000
2023-01-05	4555.19	4580.62	4552.42	4567.46	4567.46	3812470000
2023-01-04	4558.96	4582.47	4547.58	4566.75	4566.75	3990290000
2023-01-03	4598.26	4607.07	4528.56	4537.41	4537.41	4553210000
2022-12-30	4565.75	4590.16	4564.01	4582.23	4582.23	3981010000
2022-12-29	4584.82	4594.22	4573.14	4588.96	4588.96	4503600000
2022-12-28	4578.83	4584.62	4567.53	4576.73	4576.73	4042370000
2022-12-27	4550.93	4550.93	4505.75	4513.39	4513.39	4270710000
2022-12-23	4494.27	4519.49	4485.54	4501.89	4501.89	4149120000
2022-12-22	4513.96	4540.34	4474.55	4478.03	4478.03	4143310000
2022-12-21	4491.58	4519.84	4491.15	4518.44	4518.44	3493920000
2022-12-20	4498.03	4503.31	4464.39	4499.38	4499.38	3884910000
2022-12-19	4501.57	4502.44	4461.33	4467.71	4467.71	3803100000
2022-12-16	4487.16	4527.37	4457.92	4468.83	4468.83	4504370000
2022-12-15	4450.69	4476.23	4443.98	4464.05	4464.05	3753290000
2022-12-14	4458.13	4490.33	4453.44	4489.72	4489.72	3896410000
2022-12-13	4478.87	4478.87	4432.19	4437.86	4437.86	3832250000
2022-12-12	4433.79	4449.95	4403.55	4404.33	4404.33	3753910000
2022-12-09	4416.32	4421.17	4364.83	4370.36	4370.36	3943700000
2022-12-08	4344.88	4381.82	4335.31	4369.71	4369.71	3940400000
2022-12-07	4380.28	4407.55	4360.30	4399.77	4399.77	3726850000
2022-12-06	4415.33	4418.59	4382.77	4387.55	4387.55	3522760000
2022-12-05	4396.44	4443.18	4396.44	4436.01	4436.01	3837270000
2022-12-02	4455.16	4458.30	4375.55	4376.31	4376.31	3723470000
2022-12-01	4389.38	4418.46	4356.29	4405.71	4405.71	3296180000
2022-11-30	4426.03	4439.56	4414.98	4433.31	4433.31	2957230000
2022-11-29	4432.75	4500.14	4431.68	4497.63	4497.63	3354820000
2022-11-28	4500.34	4521.65	4493.59	4514.87	4514.87	3064110000
2022-11-25	4517.01	4532.26	4507.39	4507.66	4507.66	3946360000
2022-11-23	4530.60	4541.25	4501.35	4515.77	4515.77	3246260000
2022-11-22	4510.06	4514.29	4496.01	4496.83	4496.83	3526250000
2022-11-21	4490.35	4490.35	4442.38	4465.48	4465.48	3418850000
2022-11-18	4434.55	4457.81	4430.46	4451.14	4451.14	3763760000
2022-11-17	4451.30	4473.53	4448.38	4457.49	4457.49	3259290000
2022-11-16	4480.98	4490.77	4467.89	4487.46	4487.46	3369920000
2022-11-15	4473.27	4487.11	4456.83	4461.90	4461.90	3435740000
2022-11-14	4462.65	4479.39	4453.52	4467.44	4467.44	3529430000
2022-11-11	4487.78	4511.99	4478.69	4505.10	4505.10	3648720000
2022-11-10	4497.98	4497.98	4447.21	4450.32	4450.32	6932230000
2022-11-09	4445.13	4466.36	4442.11	4453.53	4453.53	3161230000
2022-11-08	4445.41	4449.85	4416.61	4443.95	4443.95	3614880000
2022-11-07	4452.81	4461.03	4401.38	4402.20	4402.20	3308450000
2022-11-04	4374.36	4375.70	4329.17	4330.00	4330.00	3662340000
2022-11-03	4341.74	4357.40	4316.49	4320.06	4320.06	3349570000
2022-11-02	4310.62	4338.51	4302.70	4337.44	4337.44	3195650000
2022-11-01	4312.88	4313.01	4265.98	4273.53	4273.53	3472340000
2022-10-31	4282.63	4292.07	4238.63	4274.51	4274.51	3875880000
2022-10-28	4269.65	4317.27	4264.38	4299.70	4299.70	3846230000
2022-10-27	4328.18	4333.15	4274.86	4288.05	4288.05	3865960000
2022-10-26	4284.52	4300.58	4260.21	4288.39	4288.39	3938660000
2022-10-25	4269.75	4281.15	4216.45	4229.45	4229.45	3953830000
2022-10-24	4233.83	4268.50	4220.48	4263.75	4263.75	3777600000
2022-10-21	4259.31	4267.13	4225.91	4258.19	4258.19	3581470000
2022-10-20	4234.79	4324.10	4219.55	4308.50	4308.50	3902030000
2022-10-19	4289.02	4341.73	4283.79	4335.66	4335.66	3174630000
2022-10-18	4339.75	4385.46	4339.64	4358.24	4358.24	3520240000
2022-10-17	4366.59	4378.64	4345.34	4376.95	4376.95	3601660000
2022-10-14	4380.94	4385.85	4325.43	4349.61	4349.61	3713140000
